ksrid lea,agency name,site url,webarchive_url,lea-qid,reference,city,city-qid,latlon,street address,county,county-qid,zip code,lea type
SB978-017,Antioch Police Department,https://www.antiochca.gov/police/,https://web.archive.org/web/20180902110144/https://www.antiochca.gov/police/,Q4775027,,Antioch,Q495357,"38.01583,-121.8197","300 L Street
Antioch, CA 94509",Contra Costa County,Q108058,94509,Police
SB978-018,Apple Valley Unified School District Police Department,https://www.avusd.org/departments/district-police,https://web.archive.org/web/20200919115143/https://www.avusd.org/departments/district-police,Q120753247,,Apple Valley,Q621372,"34.52373,-117.2164","12555 Navajo Road, Apple Valley, CA  92308",San Bernardino County,Q108053,92308,School District
SB978-019,Arcadia Police Department,https://www.arcadiaca.gov/protect/police_department/index.php,https://web.archive.org/web/20200407192619/https://www.arcadiaca.gov/protect/police_department/index.php,Q17182570,,Arcadia,Q534536,"34.13641,-118.0386","250 W Huntington Dr, Arcadia, CA 91007",Los Angeles County,Q104994,91007,Police
SB978-020,Arcata Police Department,https://www.cityofarcata.org/206/Police,https://web.archive.org/web/20151203142114/http://www.cityofarcata.org/206/Police,Q120751299,,Arcata,Q631752,"40.86766,-124.0851","736 F Street
Arcata, CA 95521",Humboldt County,Q109651,95521,Police
SB978-021,Arroyo Grande Police Department,http://www.agpd.org,https://web.archive.org/web/20010906205447/http://www.agpd.org/,Q120751300,,Arroyo Grande,Q703206,"35.12435,-120.5768","200 N Halcyon Rd, Arroyo Grande, CA 93420",San Luis Obispo County,Q49014,93420,Police
SB978-022,Arvin Police Department,https://www.arvin.org/181/Police,https://web.archive.org/web/20210116170435/https://www.arvin.org/181/Police,Q120751301,,Arvin,Q717385,"35.20902,-118.8289","200 Campus Drive
Arvin, CA 93203",Kern County,Q108047,93203,Police
SB978-023,Atascadero Police Department,https://www.atascadero.org,https://web.archive.org/web/20000303100201/http://www.atascadero.org/,Q120751302,,Atascadero,Q653827,"35.4888,-120.6693","5505 El Camino Real, Atascadero, CA 93422",San Luis Obispo County,Q49014,93422,Police
SB978-024,Atherton Police Department,https://www.ci.atherton.ca.us/635/Police-Department,https://web.archive.org/web/20220814155056/https://ci.atherton.ca.us/635/Police-Department,Q120751303,,Atherton,Q2869080,"37.46248,-122.1978","80 Fair Oaks Lane Atherton, CA 94027",San Mateo County,Q108101,94027,Police
SB978-025,Atwater Police Department,https://www.atwater.org/departments/police/,https://web.archive.org/web/20200814104343/https://www.atwater.org/departments/police/,Q120751304,,Atwater,Q595806,"37.34584,-120.6088","750 Bellevue Rd Atwater, CA 95301",Merced County,Q109690,95301,Police
SB978-026,Auburn Police Department,https://www.auburn.ca.gov/168/Police,https://web.archive.org/web/20160314041008/http://www.auburn.ca.gov/168/Police,Q4819290,,Auburn,Q758542,"38.8962,-121.0789","1215 Lincoln Way
Auburn, CA 95603",Placer County,Q156353,95603,Police
